id,smiles
CHEMBL1363955,Cc1nc2cc(-c3cccc(F)c3)nn2c(C)c1CCC(=O)NC(C)CCc1ccco1
CHEMBL1545660,COc1ccc(OC)c(N/C=C/C(=O)c2ccccc2)c1
CHEMBL1330556,Cc1cc(/C=N/n2cnnc2)c(C)n1-c1ccc(OCc2ccc(Cl)cc2Cl)cc1
CHEMBL1573366,O=C(/C=C/Nc1ccc(F)cc1Br)c1ccccc1
CHEMBL1986907,COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2ccccc2OC)cc1
CHEMBL1531320,O=C(NCc1ccco1)c1cc2ccc(O)cc2oc1=O
CHEMBL1612106,c1ccc(-c2cn3nc4c(nc3n2)CCCC4)cc1
CHEMBL2164465,Nc1ccc(Oc2ncnc3c2ccn3C2CCCC2)cc1
CHEMBL1996490,O=C(Nc1ccccc1C(=O)N/N=C/c1ccco1)c1ccc(F)cc1
CHEMBL1524929,COc1ccccc1C(=O)Nc1nc2ccccc2s1
CHEMBL1574553,Brc1ccc(N=Nc2ccc3ccccc3n2)cc1
CHEMBL259615,CN1CCN(C(=O)COc2ccc(-c3nc4ccccc4s3)cc2)CC1
CHEMBL260451,O=C(/C=C\Nc1cccc(F)c1)c1ccc2c(c1)OCO2
CHEMBL2164489,CC(C)Cn1ccc2c(Oc3ccc(N)cc3)ncnc12
CHEMBL1524484,CCn1c(C)nc2cc(-c3nc4n(n3)Cc3ccccc3-4)ccc12
CHEMBL2007273,Oc1ccc(/C=N/NC(=S)N/N=C/c2ccc(O)cc2)cc1
CHEMBL2324099,Oc1ccc(C2=NO[C@H](Cc3ccccc3)C2)cc1
CHEMBL198759,Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1
CHEMBL1328408,Nc1ccc(C(=O)Nc2nc3ccccc3s2)cc1
CHEMBL1387436,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccc2c(c1)OCO2
CHEMBL2003508,COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2ccco2)cc1
CHEMBL1609181,C=CCNc1ncnc2c1cnn2-c1ccc(OC)cc1
CHEMBL2324052,N#Cc1ccc(C2=NO[C@@H](Cc3ccccc3)C2)cc1
CHEMBL1491676,CCc1cc2c(=O)n(Cc3ccco3)c(SCc3c(C)noc3C)nc2s1
CHEMBL546344,Nc1nc(Nc2ccc(Cl)cc2)nc2ccccc12
CHEMBL1332533,O=C(Nc1cccc(O)c1)c1cc(-c2ccc3c(c2)OCO3)on1
CHEMBL1527400,c1ccc(-c2nc(-c3ccccn3)no2)cc1
CHEMBL1496640,COc1ccc(O)c(C(=O)CC(=O)c2ccc(F)cc2)c1
CHEMBL1383281,COC(=O)c1sccc1NC(=O)Nc1ccc(OC)cc1
CHEMBL1467431,CC(=O)Oc1ccc(/C=C/c2nc3ccccc3c(=O)o2)cc1
CHEMBL1399952,CCOc1ccc(OCc2ccc(C(=O)O)o2)cc1
CHEMBL1401676,O=C(O)c1ccc(N=Nc2c(O)[nH]c3ccccc23)cc1
CHEMBL259784,COc1ccc(C(=O)NC(=O)Nc2cc(C)ccn2)cc1
CHEMBL1304009,CCc1ccc2oc(-c3cccc(N)c3)nc2c1
CHEMBL3193424,Cc1nn(-c2ccccc2)c(Cl)c1/C=N/NC(=O)c1[nH]ncc1Br
CHEMBL1341192,COc1ccc2[nH]c(-c3ccc(N)cc3)nc2c1
CHEMBL1380028,Cc1cc(-c2csc(N)n2)c(C)n1CCc1ccccc1
CHEMBL1458038,CCOc1ccc2nc(NC(=O)c3ccco3)sc2c1
CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL1539572,O=C(c1c(Cl)nc2sccn12)N1CCN(c2cccc(Cl)c2)CC1
CHEMBL261118,CCOc1ccc(-c2cc(C(=O)N3CCN(c4ccccn4)CC3)c3ccccc3n2)cc1
CHEMBL259103,c1ccc(-c2noc(-c3ccc4ccccc4c3)n2)cc1
CHEMBL1501197,Cc1cc(N)n2nc(-c3ccc(C(C)(C)C)cc3)cc2n1
CHEMBL281980,O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)CCc2ccccc21
