InChI_Key,set,smiles,molecule_chembl_id,molwt,scf,id,ina_dir
VBAVWASTSFNHBO-UHFFFAOYSA-N,PubChem,ClC1=CCC2CN(CCN3CCCCC3)CC2C1,CHEMBL1506915,268.83199999999994,CC1CCC2CC(CCC3CCCCC3)CC2C1,DCM-50008,/tmp/temp/ina_vdni7tn2
GRBYISACYBBJBM-XDHOZWIPSA-N,PubChem,CC(=O)N/N=C/c1ccc(OCCOc2ccc(Br)cc2)cc1,CHEMBL3211821,377.238,CC(C)CCCC1CCC(CCCCC2CCC(C)CC2)CC1,DCM-22375,/tmp/temp/ina_vdni7tn2
DFBSSQGRFRNLAL-UHFFFAOYSA-N,PubChem,COCCN(CCOC)Cc1cc(=O)oc2ccccc12,CHEMBL1872774,291.347,CCCCC(CCCC)CC1CC(C)CC2CCCCC21,DCM-25934,/tmp/temp/ina_vdni7tn2
IOGSCISBZSZRPH-UHFFFAOYSA-N,PubChem,CSc1cccc(NC(=O)C2(S(=O)(=O)c3ccc(C)cc3)CC2)c1,CHEMBL1391637,361.4880000000001,CCC1CCCC(CC(C)C2(C(C)(C)C3CCC(C)CC3)CC2)C1,DCM-46433,/tmp/temp/ina_vdni7tn2
JHGHBKKCLCUXFB-OQKWZONESA-N,PubChem,CN(C)C(=O)/C(=C\c1cccc(Oc2ccccc2)c1)NC(=O)c1ccccc1,CHEMBL1309969,386.45100000000014,CC(C)C(C)C(CC(C)C1CCCCC1)CC1CCCC(CC2CCCCC2)C1,DCM-100799,/tmp/temp/ina_vdni7tn2
WWCGFUOYNDFKIB-UHFFFAOYSA-N,PubChem,Cc1onc(C(=O)Nc2cccc(C(F)(F)F)c2)c1[N+](=O)[O-],CHEMBL1349739,315.20700000000005,CC(C)C1C(C)CCC1C(C)CC1CCCC(C(C)(C)C)C1,DCM-63369,/tmp/temp/ina_vdni7tn2
MVKIKXJENZGNHI-UHFFFAOYSA-N,PubChem,CCOC(=O)C(=O)N(Nc1ccccc1C)c1ccccc1C,CHEMBL1479338,312.36900000000014,CCCC(C)C(C)C(CC1CCCCC1C)C1CCCCC1C,DCM-43394,/tmp/temp/ina_vdni7tn2
HSYMWNBRSGOVCV-UHFFFAOYSA-N,Novartis,CCOC(=O)C(=O)Nc1sccc1C(N)=O,CHEMBL3247682,242.256,CCCC(C)C(C)CC1CCCC1C(C)C,DCM-117468,/tmp/temp/ina_vdni7tn2
XHLOPKBCFDWDBA-UHFFFAOYSA-N,PubChem,O=C(CN1C(=O)NC2(CCc3ccccc32)C1=O)c1c[nH]c2ccccc12,CHEMBL1606788,359.38500000000005,CC(CC1C(C)CC2(CCC3CCCCC32)C1C)C1CCC2CCCCC21,DCM-55303,/tmp/temp/ina_vdni7tn2
SIVOZAHMIKAPRY-UHFFFAOYSA-N,PubChem,COc1ccc(-n2nc3c(c2NC(=O)C(C)C)CSC3)cc1,CHEMBL1299675,317.4140000000001,CCC1CCC(C2CC3CCCC3C2CC(C)C(C)C)CC1,DCM-37708,/tmp/temp/ina_vdni7tn2
HMUREZVVMDPGBM-UHFFFAOYSA-N,PubChem,O=C(CC1(CC(=O)N2CCOCC2)CCCC1)Nc1ccccc1,CHEMBL1354373,330.42799999999994,CC(CC1CCCCC1)CC1(CC(C)C2CCCCC2)CCCC1,DCM-15225,/tmp/temp/ina_vdni7tn2
SSZBLXNGXGZICL-UHFFFAOYSA-N,PubChem,Cc1c(C(=O)N2CCOCC2)c(S(=O)(=O)Nc2ccc(C(C)C)cc2)c(C)n1C,CHEMBL1726674,419.5470000000003,CC(C)C1CCC(CC(C)(C)C2C(C)C(C)C(C)C2C(C)C2CCCCC2)CC1,DCM-40079,/tmp/temp/ina_vdni7tn2
PNQDFNYWKWTZNZ-PXLXIMEGSA-N,PubChem,COc1ccc(CNC(=O)C/C(C)=N/NC(=O)COc2ccccc2)cc1,CHEMBL3209729,369.4210000000001,CCC1CCC(CCC(C)CC(C)CCC(C)CCC2CCCCC2)CC1,DCM-100857,/tmp/temp/ina_vdni7tn2
OPUFBFOJQQYXDW-UHFFFAOYSA-N,PubChem,Cc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2)cc1,CHEMBL2144464,318.42,CC1CCC(C(C)(C)C2CCC(C(C)(C)C)CC2)CC1,DCM-97447,/tmp/temp/ina_vdni7tn2
NNVOHZSKBIDBFM-UHFFFAOYSA-N,both,Cc1ccc(S(=O)(=O)NCC(=O)N2CCN(c3ccccn3)CC2)cc1,CHEMBL1604471,374.46600000000007,CC1CCC(C(C)(C)CCC(C)C2CCC(C3CCCCC3)CC2)CC1,DCM-85,/tmp/temp/ina_vdni7tn2
VJRNYQQEIBGDIP-UHFFFAOYSA-N,PubChem,CCOC(=O)C1=C(C)NC(=S)NC1c1cc(C)sc1C,not found,310.444,CCCC(C)C1C(C)CC(C)CC1C1CC(C)CC1C,DCM-20787,/tmp/temp/ina_vdni7tn2
UWARNDNFRZKSCV-UHFFFAOYSA-N,PubChem,COc1ccccc1C(C)NC(=O)c1ccccc1SCC(=O)N1CCCC1,CHEMBL2130564,398.5280000000001,CCC1CCCCC1C(C)CC(C)C1CCCCC1CCC(C)C1CCCC1,DCM-32858,/tmp/temp/ina_vdni7tn2
RKIMNICENZQKNX-UHFFFAOYSA-N,PubChem,CC(=O)Nc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,not found,495.5350000000002,CC(C)CC1CCC(C(C2C(C)CC3CCCCC3C2C)C2C(C)C(C)C(C3CCCCC3)C2C)CC1,DCM-104367,/tmp/temp/ina_vdni7tn2
ODNLPOFKFVHITB-UHFFFAOYSA-N,PubChem,Cc1cc(-n2c(C)cc(C(=O)CN3C(=O)NC4(CCCCC4)C3=O)c2C)no1,CHEMBL1893445,384.4360000000001,CC1CCC(C2C(C)CC(C(C)CC3C(C)CC4(CCCCC4)C3C)C2C)C1,DCM-12430,/tmp/temp/ina_vdni7tn2
